,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,11,20,0.355,-19.6,-4.12,,2,12,,9,5,,0,14,,71.4,71.9,,40.5,23.8,53.7,0.443,7.77,19.3,0.402,16.1,21.5,0.749,9.87,32.6,13,7.13,2.32,14.6,20.7
2,Air Force,30,12,18,0.4,-4.08,1.71,,6,12,,8,9,,3,8,,66,69.1,,40.3,22.6,52,0.435,7.2,21.8,0.331,13.5,19.6,0.69,8.77,32.3,14,5.47,3.13,13.3,18.8
3,Akron,34,21,13,0.618,1.16,-0.48,,12,6,,13,2,,6,8,,68.6,66.9,,40.4,23.9,54.6,0.438,7.03,20.3,0.346,13.7,22.1,0.623,12.1,34.6,11.4,6.62,4.18,13.1,17.8
4,Alabama,32,13,19,0.406,8.34,8.88,,7,11,,13,4,,0,11,,67.8,67.2,,40.5,23.2,52.2,0.444,5.72,17.1,0.334,15.8,23,0.685,10,32.8,11,6.81,4.28,11.9,19
5,Alabama A&M,30,14,16,0.467,-13.86,-10.58,,10,8,,7,4,,5,11,,64.5,67,,40.5,21.9,53.4,0.41,6.07,18.7,0.324,14.7,22.5,0.656,10,33.8,12.7,6.23,4.17,13.2,21.4
6,Alabama State,32,19,13,0.594,-12.84,-11.4,,12,6,,13,1,,5,10,,70.8,69.5,,40.6,24.8,59.1,0.419,5.47,19.1,0.286,15.8,23.4,0.676,12.7,36.2,13,6.78,3.59,11.8,18.1
7,Albany (NY) ,34,19,15,0.559,-3.31,-5.22,,9,7,,10,3,,7,11,,65.9,63.9,,40.4,22.5,51,0.441,4.79,13.3,0.36,16.1,21.4,0.75,10.1,34.6,11.1,5.41,2.97,12.6,17.1
8,Alcorn State,31,12,19,0.387,-15.95,-9.27,,9,9,,9,3,,2,13,,64,67.8,,40.8,22.4,53.5,0.418,4.39,14.5,0.303,14.9,22.8,0.654,9.74,30.9,9.13,5.97,3.74,11.5,18.6
9,American ,33,20,13,0.606,0.69,-3.25,,13,5,,11,3,,9,9,,63.1,59.1,,40.2,22.7,46.3,0.49,6.27,16.5,0.379,11.5,16.2,0.707,7.03,29.9,14.9,6,3.33,14.1,17.2
10,Appalachian State,30,9,21,0.3,-15.32,-7.13,,5,11,,7,7,,2,13,,67.8,71.7,,40.3,24,57.7,0.416,5.03,16.7,0.302,14.8,23.2,0.638,13.1,36.4,10.9,6.23,2.77,12.1,19.9
11,Arizona ,38,33,5,0.868,23.36,9.04,,15,3,,18,0,,8,3,,72.9,58.6,,40.5,26.2,55.9,0.469,5.37,14.8,0.364,15.1,22.9,0.659,12.2,38.1,15.1,5.87,4.55,10.2,16.6
12,Arizona State ,33,21,12,0.636,13.32,7.41,,10,8,,16,1,,4,7,,75.3,69.4,,40.8,25.3,56.1,0.451,8.12,20.8,0.39,16.5,23.8,0.694,8.52,35.5,14.3,5.06,5.52,11.4,19.2
13,Arkansas,34,22,12,0.647,14.34,5.57,,10,8,,17,2,,3,7,,80.1,71.3,,40.5,27.3,61.9,0.441,7.44,20.5,0.362,18.1,24.9,0.726,11.9,35.9,15.3,8.44,5.56,11.5,20.8
14,Arkansas State,32,19,13,0.594,-0.44,-3.18,,10,8,,11,4,,7,8,,76,71.8,,41.1,24.9,56.1,0.444,8.81,23,0.383,17.4,23.9,0.726,9.41,34.5,13.3,6.75,2.78,12.2,17.8
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.39,-6.9,,11,7,,6,3,,6,12,,63.1,70.6,,40,21.3,51.8,0.411,6.23,18.1,0.343,14.4,21.8,0.661,9.9,30.5,11.3,9.55,2.32,15.4,19.5
16,Army,31,15,16,0.484,-6.16,-4.66,,10,8,,7,7,,7,8,,72.4,73.2,,40.3,25.8,58.2,0.444,7.61,22.5,0.339,13.1,18.7,0.7,11.4,33.6,14.1,6.03,4.26,12.9,18.3
17,Auburn,30,14,16,0.467,5.11,5.47,,6,12,,12,6,,2,8,,71.5,71.8,,40,24.1,55.2,0.437,5.73,18.5,0.31,17.5,24.3,0.721,11,34.1,11.6,6.1,4.47,12.1,21.5
18,Austin Peay,30,12,18,0.4,-10.5,-5.78,,6,10,,8,6,,3,11,,76.2,78.9,,40.5,26.6,54.4,0.488,5.27,15.3,0.344,17.8,26.8,0.665,9.93,33.3,14.8,6.87,5.2,15.7,17.2
19,Ball State,30,5,25,0.167,-10.17,0.65,,2,16,,5,9,,0,16,,65.6,73.8,,40.8,21.7,53.4,0.407,6.53,20.8,0.314,15.6,22.6,0.691,12.8,36.9,12.5,4.53,2.33,16.8,20.5
20,Baylor ,38,26,12,0.684,15.8,10.11,,9,9,,13,4,,5,5,,74.8,67.8,,40.5,25.2,55.5,0.455,7.37,19.1,0.386,17,25,0.68,13.8,38.3,14.8,5.18,5.32,11.6,17.1
21,Belmont,36,26,10,0.722,3.29,-1.88,,14,2,,13,1,,10,8,,79.9,73.9,,40,27.3,54.8,0.498,8.97,22.9,0.392,16.3,22.1,0.739,8.75,31.2,15.9,6.89,2.44,12.9,20.4
22,Bethune-Cookman,32,7,25,0.219,-16.86,-7.53,,5,11,,5,6,,2,18,,63.5,70.4,,40.3,21.4,53.5,0.4,6.81,19.2,0.356,13.8,19.2,0.719,11.5,31.3,9.88,6.22,2.5,12.8,21.3
23,Binghamton,30,7,23,0.233,-16.15,-6.15,,4,12,,3,10,,4,12,,61.3,71.3,,40.5,19.7,51.8,0.38,6.07,19,0.32,15.9,22.9,0.693,10.4,32.3,9.4,6.13,2,14.3,19.9
24,Boise State,34,21,13,0.618,8.83,3.86,,9,9,,12,4,,5,7,,76.2,69,,40.6,26.2,57.4,0.456,7.76,20.9,0.372,16.1,21.5,0.749,11,34.4,12,5.97,2.09,10,19.2
25,Boston College,32,8,24,0.25,3.01,8.62,,4,14,,4,9,,3,11,,68.7,73.6,,40.8,22.4,50.2,0.446,7.72,21.9,0.352,16.2,21.8,0.741,8.28,29.7,12.4,4.38,2.69,11.2,18.8
26,Boston University,35,24,11,0.686,1.77,-2.4,,15,3,,11,6,,11,4,,71.2,67,,40.6,25.5,56.5,0.452,8.06,22.2,0.363,12.1,16.9,0.714,9.51,33.2,14,7,1.77,11.7,16.9
27,Bowling Green State,32,12,20,0.375,-3.45,-0.2,,6,12,,7,8,,4,11,,62.7,64.2,,40.3,23.2,54.5,0.426,3.75,13,0.288,12.5,19.7,0.637,10.6,35.3,12.1,7.69,5.53,14.7,17.6
28,Bradley,32,12,20,0.375,-2.72,-0.31,,7,11,,11,6,,1,11,,63.6,66,,40,22.5,53.8,0.419,4.81,15,0.322,13.8,19.6,0.701,11.1,33.3,9.56,7.06,2.63,12,19.8
29,Brigham Young ,35,23,12,0.657,11.63,5.72,,13,5,,14,1,,5,7,,83.7,77.3,,40.7,28.9,62.5,0.463,5.06,14.3,0.355,20.9,30.1,0.692,13.2,40.9,15.5,7.17,2.94,11.3,19.7
30,Brown,29,15,14,0.517,-1.44,-4.04,,7,7,,8,6,,7,8,,71.2,67.3,,40.3,25.3,58.8,0.431,6.76,17.8,0.381,13.8,20.4,0.673,11.3,39.8,13.4,5.66,4.76,12.9,19.7
31,Bryant,32,18,14,0.563,-4.25,-4.89,,10,6,,11,4,,7,9,,73.5,72,,40.3,26.3,55.9,0.47,6.28,18.8,0.334,14.7,20.9,0.703,9.59,34.2,13.1,6.47,2.91,12.4,17.8
32,Bucknell,30,16,14,0.533,-1.3,-3.14,,11,7,,8,6,,8,8,,65.9,64.1,,40,23.3,54.2,0.429,6.53,16.7,0.39,12.8,17.2,0.746,9.57,35.6,11.9,4.6,1.63,10.7,16.7
33,Buffalo,29,19,10,0.655,3.58,-2.13,,13,5,,13,1,,6,6,,73.5,67.3,,40.2,25.1,56.2,0.447,6.45,19.2,0.335,16.8,23.6,0.712,12.2,37,15,6.83,4.72,12.6,18.4
34,Butler,31,14,17,0.452,7.04,6.98,,4,14,,8,7,,4,7,,68.5,66.6,,41.1,24.4,56.7,0.429,5.9,18.3,0.323,13.9,21.1,0.661,11,34.6,11.1,6,2.84,10,16.9
35,Cal Poly ,34,14,20,0.412,-1.34,1.69,,6,10,,6,6,,3,12,,63,63.6,,40,22.2,54.4,0.408,6.41,19.2,0.333,12.2,17.7,0.688,11.1,32.2,11.6,5.82,2.74,8.91,18.3
36,Cal State Bakersfield,32,13,19,0.406,-4.86,-4.31,,5,11,,6,7,,5,10,,69.2,68.4,,40.3,24,54.8,0.438,6.91,17.8,0.389,14.4,20.9,0.688,11.8,34.9,12,6.5,3.47,13.8,22.1
37,Cal State Fullerton,31,11,20,0.355,-5.08,-1.12,,6,10,,8,5,,3,12,,67.5,71.5,,40.2,23.7,55.7,0.425,6.16,18.6,0.331,14,21.2,0.658,10.5,33.7,11.1,4.68,1.87,11.9,19.5
38,Cal State Northridge,35,17,18,0.486,-4.89,-3.29,,7,9,,11,3,,2,14,,76.8,77.5,,41.2,25.4,55.9,0.454,4.23,11.5,0.367,21.9,27.6,0.791,11.1,35.6,13.5,6.91,2.74,12.8,20.5
39,California,35,21,14,0.6,10.7,7.44,,10,8,,15,4,,5,7,,72.4,69.1,,40.5,26.3,57.5,0.457,5.69,16.5,0.345,14.1,20.5,0.686,10.1,35.6,15.3,5.29,4.54,10.2,16.9
40,Campbell,32,12,20,0.375,-14.04,-7.33,,6,10,,9,7,,3,12,,67.6,71.6,,40.5,24.1,54.6,0.441,8.69,24.8,0.35,10.8,15.9,0.677,10.8,32.8,14.2,6.03,4.38,13.3,17.9
41,Canisius,34,21,13,0.618,1.24,-1.95,,14,6,,9,4,,8,7,,78.3,75.6,,39.7,26.9,58.5,0.459,7.97,20.6,0.386,16.6,22.4,0.74,11.3,32.6,12.5,6.85,3.82,11.6,18
42,Central Arkansas,29,8,21,0.276,-16.25,-5.54,,5,13,,7,8,,1,13,,74.7,81.4,,40.3,27.1,60.7,0.447,6.59,18,0.366,13.8,23,0.601,11.1,33.9,12.7,8.52,4.72,14.5,21.9
43,Central Connecticut State,30,11,19,0.367,-13.1,-6.06,,7,9,,5,8,,6,10,,70.6,77.3,,40.3,26,59.8,0.435,5.63,16.8,0.335,12.9,17.9,0.717,10.5,34.5,13,6.9,4.87,14,18.6
44,Central Michigan,31,10,21,0.323,-8.82,-2.72,,3,15,,8,8,,2,13,,72.5,73.8,,40.6,24.7,57,0.434,8.03,25.1,0.32,15,21.1,0.71,10.6,31.3,12,7.48,1.16,10.7,18.1
